data_owner;location_code;location_name;xy;dups;modelNames;station_name;descriptive_name;What to do?
IMR;eu_M53;M53;7.01_56.99;FALSE;NA;M53;M53;
IMR;eu_M101;M101;7.01_57.01;FALSE;NA;M101;M101;
IMR;eu_M207;M207;7.01_57.91;FALSE;NA;M207;M207;
IMR;eu_M740;M740;7.01_62.05;FALSE;NA;M740;M740;
Rijkswaterstaat;donar_OOSTHD;OOSTHD;7.0146_53.3166;TRUE;NA;OOSTHD;Oosterhoofd;
Rijkswaterstaat;OOSTHD;Oosterhoofd;7.0146_53.3166;FALSE;NA;OOSTHD;Oosterhoofd;
Rijkswaterstaat;GAATJBNWT;Gaatje Bocht noordwest;7.0149_53.3227;FALSE;NA;GAATJBNWT;Gaatje Bocht noordwest;
Rijkswaterstaat;GAATJBWT;Gaatje Bocht west;7.0155_53.3193;FALSE;NA;GAATJBWT;Gaatje Bocht west;
Rijkswaterstaat;donar_GAATJBND;GAATJBND;7.0229_53.328;FALSE;NA;GAATJBND;GAATJBND;
IMR;eu_M756;M756;7.03_62.19;FALSE;NA;M756;M756;
Rijkswaterstaat;TERMTZBSD;Zeestrand Termunten;7.0315_53.3029;FALSE;NA;TERMTZBSD;Zeestrand Termunten;
IMR;eu_M591;M591;7.05_60.49;FALSE;NA;M591;M591;
IMR;eu_M749;M749;7.07_62.09;FALSE;NA;M749;M749;
Rijkswaterstaat;donar_MONDVDDLD;MONDVDDLD;7.0815_53.3119;TRUE;NA;MONDVDDLD;Mond van de Dollard;
Rijkswaterstaat;MONDVDDLD;Mond van de Dollard;7.0815_53.3119;FALSE;NA;MONDVDDLD;Mond van de Dollard;
Rijkswaterstaat;MONDVDDLND;Mond van de Dollard noord;7.0825_53.3168;FALSE;NA;MONDVDDLND;Mond van de Dollard noord;
RBINS;eu_R0118_GKSS;R0118_GKSS;7.09_55.4078;FALSE;NA;R0118_GKSS;R0118_GKSS;
